,variant,mean_mIoU,std_mIoU,mean_Accuracy,std_Accuracy,mean_Dice,std_Dice,mean_#Param,std_#Param,mean_#Seconds,std_#Seconds,mean_#Epochs,std_#Epochs,mean_FLOPs,std_FLOPs
0,basis,0.4315250813961029,0.005631446838378906,0.7683484852313995,0.0029759109020233154,0.7261316180229187,0.003731846809387207,7024584.0,0.0,177.5,11.5,108.0,13.0,1533467267611200.0,184584022953200.0
1,plus1depth,0.3641202449798584,0.008779257535934504,0.7357361912727356,0.0013452768325805664,0.6821304261684418,0.009931057691574097,28273608.0,0.0,287.0,3.0,105.5,2.5,1956864391695200.0,46371194116000.0
2,plus2depth,0.3044370859861374,0.0015876442193984985,0.6741440892219543,0.0024781227111816406,0.6056846082210541,0.001419752836227417,113238984.0,0.0,601.0,53.0,84.0,11.0,1923403750363200.0,251874300642800.0
3,plus3depth,0.23576065152883524,0.0029576197266578536,0.5723513960838318,0.00746232271194458,0.47297036647796625,0.010601609945297241,453039048.0,0.0,1439.0,84.0,65.0,3.0,1771028673180000.0,81739784916000.0
4,minus1depth,0.4695281386375427,0.0008254647254944125,0.7765255570411682,0.0009008049964904785,0.7261009216308594,0.0015843510627746582,1708488.0,0.0,97.0,3.0,74.5,3.5,733677312213200.0,34468061647600.0
5,minus2depth,0.4369831085205078,0.015007317066192655,0.7430768609046936,0.009815752506256104,0.6630794703960419,0.01617869734764099,377544.0,0.0,80.5,5.5,90.5,9.5,497312704036200.0,52204096003800.0
6,5x5kernel,0.38878102600574493,0.00453658401966095,0.7466800212860107,0.0013930201530456543,0.6964138150215149,0.004180967807769775,19487688.0,0.0,315.5,28.5,115.5,13.5,4551261366359400.0,531965614249800.0
7,7x7kernel,0.324526771903038,0.006341114640235901,0.7008853554725647,0.0071405768394470215,0.6297780871391296,0.012706875801086426,38182344.0,0.0,422.0,31.0,87.5,5.5,6756224500585000.0,424676968608200.0
8,9x9kernel,0.23765665292739863,0.04433330893516545,0.5982648432254791,0.04744502902030945,0.5074863284826279,0.04847110807895663,63108552.0,0.0,513.0,220.0,63.5,32.5,8104261981004200.0,4147850620199000.0
9,11x11kernel,0.2431433275341987,0.044227741658687605,0.5728333443403244,0.08157075941562653,0.47794656455516815,0.09686018526554108,94266312.0,0.0,728.5,290.5,72.0,40.0,1.37261805282144e+16,7625655849008000.0
10,2x2kernel,0.32887136936187744,0.004331469535827637,0.6744829714298248,0.0035365521907806396,0.6260831952095032,0.001119375228881836,3129864.0,0.0,101.5,5.5,72.5,7.5,458335436119000.0,47414010633000.0
11,1x1kernel,0.30810339748859406,0.0019170790910720548,0.65791255235672,0.0005964040756225586,0.5626451075077057,0.00013759732246398926,793032.0,0.0,78.5,0.5,69.0,1.0,110105117266800.0,1595726337200.0
12,minus1conv_per_block,0.4325449615716934,0.0003361552953719815,0.7552528381347656,0.0003052949905395508,0.7130381762981415,0.0006393492221832275,3109960.0,0.0,85.5,0.5,73.5,0.5,545742880523400.0,3712536602200.0
13,plus1conv_per_block,0.43102382123470306,0.021392270922660855,0.7758115530014038,0.011956572532653809,0.726333349943161,0.01954171061515808,10939208.0,0.0,229.5,22.5,113.0,12.0,2369888973089200.0,251669625460800.0
14,plus2conv_per_block,0.40898647904396057,0.021241515874862643,0.7717916071414948,0.005243450403213501,0.7170431911945343,0.013224035501480103,14853832.0,0.0,313.5,21.5,128.0,4.0,3551509322291200.0,110984666321600.0
15,0_25xfilters,0.357774555683136,0.004142224788665744,0.7082682847976685,0.0025907158851623535,0.6477567255496979,0.008533626794815063,442872.0,0.0,62.5,4.5,62.5,10.5,57678286475000.0,9689952127800.0
16,0_5xfilters,0.4086195826530456,0.001264035701751709,0.7454829812049866,0.0021584630012512207,0.7003906071186066,0.002193361520767212,1761256.0,0.0,79.0,9.0,71.5,15.5,257158142012200.0,55747569247400.0
17,2xfilters,0.4125736206769943,0.006735876202583285,0.7640126645565033,0.004937201738357544,0.6947440803050995,0.013820260763168335,28057480.0,0.0,299.5,83.5,72.5,25.5,4090564147799000.0,1438750148536200.0
18,4xfilters,0.43429760634899134,0.015180453658103943,0.7767762243747711,0.007922917604446411,0.7241256535053253,0.014260202646255493,112148232.0,0.0,1472.5,123.5,137.0,13.0,3.08169397671532e+16,2924235160386800.0
19,8xfilters,0.35570912063121796,0.037680819630622864,0.7255801558494568,0.028537988662719727,0.6405952870845795,0.047453612089157104,448429576.0,0.0,4782.0,1036.0,114.0,28.0,1.024034969371992e+17,2.51517360898384e+16
