variant,run_id,run_number,mIoU,Accuracy,Dice,#Param,#Seconds,#Epochs,FLOPs,GPU
basis,ayn8nutw,0,0.425893634557724,0.7653725743293762,0.7223997712135315,7024584,166,95,1348883244658000,NVIDIA GeForce RTX 3060 Laptop GPU
basis,m0wiotto,1,0.4371565282344818,0.7713243961334229,0.7298634648323059,7024584,189,121,1718051290564400,NVIDIA H100 80GB HBM3
plus1depth,7p9ma8sk,0,0.3728995025157929,0.734390914440155,0.6920614838600159,28273608,284,103,1910493197579200,NVIDIA GeForce RTX 3060 Laptop GPU
plus1depth,3xhy743v,1,0.35534098744392395,0.7370814681053162,0.6721993684768677,28273608,290,108,2003235585811200,NVIDIA H100 80GB HBM3
plus2depth,2dg7cxzy,0,0.3060247302055359,0.676622211933136,0.6071043610572815,113238984,548,73,1671529449720400,NVIDIA GeForce RTX 3060 Laptop GPU
plus2depth,aja50m2g,1,0.3028494417667389,0.6716659665107727,0.6042648553848267,113238984,654,95,2175278051006000,NVIDIA H100 80GB HBM3
plus3depth,hc6478ff,0,0.23280303180217743,0.5648890733718872,0.46236875653266907,453039048,1355,62,1689288888264000,NVIDIA GeForce RTX 3060 Laptop GPU
plus3depth,kiymwhjy,1,0.23871827125549316,0.5798137187957764,0.4835719764232635,453039048,1523,68,1852768458096000,NVIDIA H100 80GB HBM3
minus1depth,ufu9ouer,0,0.4703536033630371,0.7774263620376587,0.727685272693634,1708488,94,71,699209250565600,NVIDIA GeForce RTX 3060 Laptop GPU
minus1depth,qxe8ei2g,1,0.46870267391204834,0.7756247520446777,0.7245165705680847,1708488,100,78,768145373860800,NVIDIA H100 80GB HBM3
minus2depth,wmynrm66,0,0.4219757914543152,0.7332611083984375,0.6469007730484009,377544,75,81,445108608032400,NVIDIA GeForce RTX 3060 Laptop GPU
minus2depth,0bs19ov6,1,0.4519904255867005,0.7528926134109497,0.6792581677436829,377544,86,100,549516800040000,NVIDIA H100 80GB HBM3
5x5kernel,kz3bgzfh,0,0.3933176100254059,0.7452870011329651,0.7005947828292847,19487688,344,129,5083226980609200,NVIDIA GeForce RTX 3060 Laptop GPU
5x5kernel,pqnqob0g,1,0.384244441986084,0.7480730414390564,0.6922328472137451,19487688,287,102,4019295752109600,NVIDIA H100 80GB HBM3
7x7kernel,3yt307xe,0,0.3308678865432739,0.7080259323120117,0.6424849629402161,38182344,391,82,6331547531976800,NVIDIA GeForce RTX 3060 Laptop GPU
7x7kernel,xv9zsaig,1,0.3181856572628021,0.6937447786331177,0.6170712113380432,38182344,453,93,7180901469193200,NVIDIA H100 80GB HBM3
9x9kernel,hq4mictn,0,0.19332334399223328,0.5508198142051697,0.45901522040367126,63108552,293,31,3956411360805200,NVIDIA GeForce RTX 3060 Laptop GPU
9x9kernel,llt97l8e,1,0.2819899618625641,0.6457098722457886,0.5559574365615845,63108552,733,96,12252112601203200,NVIDIA H100 80GB HBM3
11x11kernel,ow2rgyzj,0,0.28737106919288635,0.6544041037559509,0.5748067498207092,94266312,1019,112,21351836377222400,NVIDIA GeForce RTX 3060 Laptop GPU
11x11kernel,zspf15t0,1,0.19891558587551117,0.4912625849246979,0.3810863792896271,94266312,438,32,6100524679206400,NVIDIA H100 80GB HBM3
2x2kernel,3q9org07,0,0.3245398998260498,0.6709464192390442,0.6249638199806213,3129864,107,80,505749446752000,NVIDIA GeForce RTX 3060 Laptop GPU
2x2kernel,16af990e,1,0.3332028388977051,0.6780195236206055,0.627202570438385,3129864,96,65,410921425486000,NVIDIA H100 80GB HBM3
