variant,mean_mIoU,std_mIoU,mean_Accuracy,std_Accuracy,mean_Dice,std_Dice,mean_#Param,std_#Param,mean_#Seconds,std_#Seconds,mean_#Epochs,std_#Epochs,mean_FLOPs,std_FLOPs,memory(MB)
basis,0.37944987416267395,0.007871474377802359,0.6784318447113037,0.004486925962662468,0.6363648772239685,0.007152535948423247,7024584.0,0.0,124.8,18.69117438792972,67.2,14.905032707109369,954157410958080.0,211633146102097.84,26.8
plus1depth,0.3126274883747101,0.003060836646705941,0.6190696716308594,0.00602306290848673,0.5862316727638245,0.008675318644679464,28273608.0,0.0,192.4,28.83470131629596,56.0,10.620734437881403,1038714748198400.0,196998455309393.88,107.86
plus2depth,0.2532116770744324,0.002483975220700523,0.562409508228302,0.0022107589424953094,0.529704749584198,0.005570737740785226,113238984.0,0.0,509.8,109.34056886627214,66.2,11.338430226446693,1515825336595760.0,259623562152131.38,431.97
plus3depth,0.18889988064765928,0.0024001634936539557,0.45642776489257814,0.003552497821772692,0.4104588687419891,0.015403844273203474,453039048.0,0.0,2563.4,939.9235288043384,100.2,36.91828815099638,2730108816194400.0,1005897644309785.2,1730.56
minus1depth,0.4118602156639099,0.002276502448107256,0.7072756886482239,0.0032627025134060726,0.6423686623573304,0.004046690543086211,1708488.0,0.0,98.6,10.49952379872535,77.2,14.469277798148738,760266959769920.0,142493702612240.2,6.52
minus2depth,0.3902661561965942,0.00793655459761545,0.6920440673828125,0.008180323301523568,0.6018408298492431,0.01088055067737071,377544.0,0.0,84.2,6.43117407632541,99.8,11.443775600735973,548417766439920.0,62885469484922.62,1.44
5x5kernel,0.3231235265731811,0.0032087256808667353,0.6217720031738281,0.003908715582041138,0.5839407205581665,0.0030413828977590585,19487688.0,0.0,197.0,9.09945053286186,59.4,2.0591260281974,2340648702699120.0,81139573511687.48,74.34
7x7kernel,0.32639753818511963,0.003992522261711101,0.6320143103599548,0.005370398878298061,0.596897280216217,0.00556015550885617,38182344.0,0.0,316.6,39.942959329523894,56.8,9.579144011862438,4385754875808320.0,739643971058023.9,145.65
9x9kernel,0.28944386839866637,0.008143507737212348,0.5949166893959046,0.005299588496512639,0.5596542358398438,0.007582393236626402,63108552.0,0.0,584.0,84.7207176551285,73.6,13.632314550361578,9393286327589120.0,1739840134229696.2,240.74
11x11kernel,0.2550889372825622,0.0042550750218135255,0.5561846971511841,0.006038094921235159,0.5170898318290711,0.006721101283215336,94266312.0,0.0,735.4,46.98765795397765,64.2,6.675327707311453,1.223917763765784e+16,1272593794382619.0,359.6
2x2kernel,0.2679768860340118,0.0050865427093111995,0.5734585642814636,0.0039391680645008,0.5291995048522949,0.005663722852254783,3129864.0,0.0,98.6,6.406246951218787,68.6,8.06473806146238,433680150589840.0,50984210159804.95,11.94
1x1kernel,0.282604843378067,0.0022646462866408577,0.6220728993415833,0.0024911196794182764,0.5212157368659973,0.0032247723325009164,793032.0,0.0,81.2,6.337191807101943,77.8,11.754148203932091,124147509034160.0,18756403860366.516,3.03
minus1conv_per_block,0.393407541513443,0.022606075877218478,0.7014318823814392,0.014015534827452629,0.6383519530296325,0.02533461185158754,3109960.0,0.0,89.6,25.91215930793881,81.8,37.599999999999994,607370988119920.0,279182752485440.03,11.86
plus1conv_per_block,0.34914888143539424,0.003496405736449153,0.6461605906486512,0.0019380280553560826,0.6092841625213623,0.006336289133648973,10939208.0,0.0,157.2,10.961751684835777,65.2,7.782030583337488,1367404965003680.0,163208393519419.72,41.73
plus2conv_per_block,0.3442989349365234,0.013060407798898646,0.6419706702232361,0.007460998272212846,0.6014255285263062,0.01058043559606116,14853832.0,0.0,190.4,6.56048778674269,65.4,2.576819745345025,1814599294358160.0,71496869902006.97,56.66
0_25xfilters,0.30509520769119264,0.012257937012784326,0.6281455993652344,0.00634909333270983,0.5678951025009156,0.008781438881479291,442872.0,0.0,59.4,2.65329983228432,55.2,7.166589146867567,50941462614720.0,6613705309786.454,1.69
0_5xfilters,0.3722051680088043,0.007698845164681753,0.672555685043335,0.004928366239157129,0.631240725517273,0.00934353726610205,1761256.0,0.0,81.6,5.851495535331117,77.4,9.178235124467014,278378184499920.0,33010599881944.754,6.72
2xfilters,0.3837338089942932,0.002281922811459307,0.6816459774971009,0.0022019005285348367,0.6494288921356202,0.005894098204444069,28057480.0,0.0,247.2,21.488601629701268,56.8,7.520638270785266,3204745428896320.0,424326252124679.7,107.03
4xfilters,0.39672147035598754,0.0027962219269206915,0.6942185997962952,0.002465547489972583,0.664967131614685,0.0064094779343389,112148232.0,0.0,712.0,54.801459834570096,55.2,7.547184905645283,1.241675237333472e+16,1697672574079113.0,427.81
8xfilters,0.4099439740180969,0.024378708572695692,0.7119905114173889,0.009092130352210114,0.6719465374946594,0.023390527222272216,448429576.0,0.0,3306.8,616.0254540195559,73.4,19.663163529808728,6.593347960693352e+16,1.7662953564038728e+16,1710.08
