variant,run_id,run_number,mIoU,Accuracy,Dice,#Param,#Seconds,#Epochs,FLOPs,memory_usage,GPU
basis,8greue1p,0,0.385317862033844,0.6834495663642883,0.6406858563423157,7024584,114,60,851926259784000,26.80 MB,NVIDIA H100 80GB HBM3
basis,fv3x0igz,1,0.3876655101776123,0.6797935366630554,0.6379759311676025,7024584,153,85,1206895534694000,26.80 MB,NVIDIA H100 80GB HBM3
basis,dy06doh6,2,0.3756093084812164,0.6743568181991577,0.6345872282981873,7024584,128,75,1064907824730000,26.80 MB,NVIDIA H100 80GB HBM3
basis,umzc4m22,3,0.3659420311450958,0.6720657348632812,0.6237345337867737,7024584,97,42,596348381848800,26.80 MB,NVIDIA H100 80GB HBM3
basis,6fd8q158,4,0.3827146589756012,0.6824935674667358,0.6448408365249634,7024584,132,74,1050709053733600,26.80 MB,NVIDIA H100 80GB HBM3
plus1depth,ew5c2diq,0,0.3118993639945984,0.6165977716445923,0.5826941132545471,28273608,176,49,908875404673600,107.86 MB,NVIDIA H100 80GB HBM3
plus1depth,8nekn6d3,1,0.3133350610733032,0.6235412359237671,0.599132776260376,28273608,178,53,983069315259200,107.86 MB,NVIDIA H100 80GB HBM3
plus1depth,0c39nlgm,2,0.31658536195755005,0.6239891052246094,0.5868709683418274,28273608,171,49,908875404673600,107.86 MB,NVIDIA H100 80GB HBM3
plus1depth,gfzjv3s4,3,0.3140052258968353,0.6229293942451477,0.589801013469696,28273608,249,77,1428232778772800,107.86 MB,NVIDIA H100 80GB HBM3
plus1depth,anajpghy,4,0.3073124289512634,0.6082908511161804,0.5726594924926758,28273608,188,52,964520837612800,107.86 MB,NVIDIA H100 80GB HBM3
plus2depth,e2jbgr51,0,0.2509101629257202,0.5609634518623352,0.5300725102424622,113238984,441,58,1328064494298400,431.97 MB,NVIDIA H100 80GB HBM3
plus2depth,wfjloz4o,1,0.25264647603034973,0.5590347051620483,0.5356764197349548,113238984,696,86,1969199077752800,431.97 MB,NVIDIA H100 80GB HBM3
plus2depth,8g32ozy8,2,0.25587916374206543,0.5633689761161804,0.5283381342887878,113238984,450,69,1579938794941200,431.97 MB,NVIDIA H100 80GB HBM3
plus2depth,7ie2dbaj,3,0.2503030598163605,0.5632041692733765,0.5199679136276245,113238984,568,65,1488348140162000,431.97 MB,NVIDIA H100 80GB HBM3
plus2depth,pwlv1rok,4,0.256319522857666,0.5654762387275696,0.5344687700271606,113238984,394,53,1213576175824400,431.97 MB,NVIDIA H100 80GB HBM3
plus3depth,n7itooj2,0,0.19280986487865448,0.4595069885253906,0.41185328364372253,453039048,3183,111,3024372041892000,1.69 GB,NVIDIA H100 80GB HBM3
plus3depth,2u5uqcdb,1,0.1885659098625183,0.4561752378940582,0.3810086846351623,453039048,831,32,871891039104000,1.69 GB,NVIDIA H100 80GB HBM3
plus3depth,f09vtgj7,2,0.1890421062707901,0.458871454000473,0.4244884252548218,453039048,2779,126,3433070966472000,1.69 GB,NVIDIA H100 80GB HBM3
plus3depth,goaxmkst,3,0.18883958458900452,0.4578971862792969,0.42078396677970886,453039048,3552,137,3732783511164000,1.69 GB,NVIDIA H100 80GB HBM3
plus3depth,rnqzkvix,4,0.1852419376373291,0.4496879577636719,0.41415998339653015,453039048,2472,95,2588426522340000,1.69 GB,NVIDIA H100 80GB HBM3
minus1depth,5lqc5saf,0,0.4124295115470886,0.7058936953544617,0.642984926700592,1708488,96,74,728753303406400,6.52 MB,NVIDIA H100 80GB HBM3
minus1depth,t02bsxg7,1,0.4124376773834229,0.7039947509765625,0.6446804404258728,1708488,96,74,728753303406400,6.52 MB,NVIDIA H100 80GB HBM3
minus1depth,w4a8lpws,2,0.41548794507980347,0.7127982974052429,0.6473168730735779,1708488,82,54,531792951134400,6.52 MB,NVIDIA H100 80GB HBM3
minus1depth,2v3t9m3c,3,0.41006308794021606,0.7046455144882202,0.6352171301841736,1708488,106,87,856777532383200,6.52 MB,NVIDIA H100 80GB HBM3
minus1depth,nspt8dvn,4,0.40888285636901855,0.7090461850166321,0.6416439414024353,1708488,113,97,955257708519200,6.52 MB,NVIDIA H100 80GB HBM3
minus2depth,yjroj4ub,0,0.3873330354690552,0.6876236200332642,0.595686674118042,377544,84,98,538526464039200,1.44 MB,NVIDIA H100 80GB HBM3
minus2depth,7n0euxdy,1,0.39752668142318726,0.7023078799247742,0.6162049770355225,377544,82,95,522040960038000,1.44 MB,NVIDIA H100 80GB HBM3
minus2depth,pw6xipft,2,0.3764936327934265,0.6818908452987671,0.5896978974342346,377544,85,101,555011968040400,1.44 MB,NVIDIA H100 80GB HBM3
minus2depth,nj5dxpw4,3,0.3918791711330414,0.6872230768203735,0.5939954519271851,377544,95,120,659420160048000,1.44 MB,NVIDIA H100 80GB HBM3
minus2depth,z4n1kyz8,4,0.39809826016426086,0.7011749148368835,0.6136191487312317,377544,75,85,467089280034000,1.44 MB,NVIDIA H100 80GB HBM3
5x5kernel,3sxewaek,0,0.31909576058387756,0.6195030212402344,0.5783029198646545,19487688,201,61,2403696479202800,74.34 MB,NVIDIA H100 80GB HBM3
5x5kernel,vad3py2l,1,0.32540199160575867,0.616045355796814,0.5836695432662964,19487688,207,61,2403696479202800,74.34 MB,NVIDIA H100 80GB HBM3
5x5kernel,wn17z229,2,0.32409951090812683,0.6261390447616577,0.5871890187263489,19487688,180,56,2206672177628800,74.34 MB,NVIDIA H100 80GB HBM3
5x5kernel,jd3g6wtm,3,0.3197145462036133,0.6261154413223267,0.5856587886810303,19487688,200,61,2403696479202800,74.34 MB,NVIDIA H100 80GB HBM3
5x5kernel,jcj1kofl,4,0.3273058235645294,0.6210571527481079,0.5848833322525024,19487688,197,58,2285481898258400,74.34 MB,NVIDIA H100 80GB HBM3
7x7kernel,9hibgzb8,0,0.3298655152320862,0.6365112066268921,0.6035715937614441,38182344,323,59,4555625663251600,145.65 MB,NVIDIA H100 80GB HBM3
7x7kernel,7q3m8qrx,1,0.3295609951019287,0.6358085870742798,0.6019284129142761,38182344,350,63,4864481640421200,145.65 MB,NVIDIA H100 80GB HBM3
7x7kernel,55scr4ci,2,0.3208034634590149,0.6367729306221008,0.5881266593933105,38182344,239,38,2934131783111200,145.65 MB,NVIDIA H100 80GB HBM3
7x7kernel,do74nw7w,3,0.32947295904159546,0.6264365911483765,0.5967503786087036,38182344,342,64,4941695634713600,145.65 MB,NVIDIA H100 80GB HBM3
7x7kernel,n8elh6ov,4,0.3222847580909729,0.624542236328125,0.5941093564033508,38182344,329,60,4632839657544000,145.65 MB,NVIDIA H100 80GB HBM3
9x9kernel,useciku4,0,0.2881704866886139,0.5952255129814148,0.555371105670929,63108552,467,53,6764187165247600,240.74 MB,NVIDIA H100 80GB HBM3
9x9kernel,ols5eedv,1,0.29983875155448914,0.6030327081680298,0.5673514604568481,63108552,542,66,8423327413327200,240.74 MB,NVIDIA H100 80GB HBM3
9x9kernel,mgjn182t,2,0.29228174686431885,0.5937553644180298,0.5598456263542175,63108552,709,93,11869234082415600,240.74 MB,NVIDIA H100 80GB HBM3
9x9kernel,pkq47190,3,0.2919004559516907,0.5961189270019531,0.567934513092041,63108552,555,74,9444336796760800,240.74 MB,NVIDIA H100 80GB HBM3
9x9kernel,d7t6laxn,4,0.27502790093421936,0.5864509344100952,0.5477684736251831,63108552,647,82,10465346180194400,240.74 MB,NVIDIA H100 80GB HBM3
11x11kernel,xei451l9,0,0.25269195437431335,0.5514877438545227,0.5133586525917053,94266312,797,66,12582332150863200,359.60 MB,NVIDIA H100 80GB HBM3
11x11kernel,aahhn06p,1,0.26030805706977844,0.5632346868515015,0.5222968459129333,94266312,654,52,9913352603710400,359.60 MB,NVIDIA H100 80GB HBM3
11x11kernel,142nj0jq,2,0.24822205305099487,0.5482269525527954,0.5063575506210327,94266312,724,71,13535539131989200,359.60 MB,NVIDIA H100 80GB HBM3
11x11kernel,7gznma8f,3,0.25606024265289307,0.5550186038017273,0.5180568695068359,94266312,750,69,13154256339538800,359.60 MB,NVIDIA H100 80GB HBM3
11x11kernel,qz6h2jq7,4,0.25816237926483154,0.5629554986953735,0.5253792405128479,94266312,752,63,12010407962187600,359.60 MB,NVIDIA H100 80GB HBM3
2x2kernel,4zjkuvx4,0,0.26347729563713074,0.5725952386856079,0.5212706327438354,3129864,93,62,391955821232800,11.94 MB,NVIDIA H100 80GB HBM3
2x2kernel,0cwzoeys,1,0.27526479959487915,0.5806518793106079,0.5374883413314819,3129864,89,56,354024612726400,11.94 MB,NVIDIA H100 80GB HBM3
2x2kernel,mnq2hyp7,2,0.2644106149673462,0.5732803344726562,0.5267877578735352,3129864,105,75,474140106330000,11.94 MB,NVIDIA H100 80GB HBM3
2x2kernel,o4qyj7wb,3,0.2730017900466919,0.5686302185058594,0.5334576964378357,3129864,104,75,474140106330000,11.94 MB,NVIDIA H100 80GB HBM3
2x2kernel,8v2oul5m,4,0.26372992992401123,0.5721351504325867,0.5269930958747864,3129864,102,75,474140106330000,11.94 MB,NVIDIA H100 80GB HBM3
1x1kernel,p17vz7ws,0,0.28472399711608887,0.624864935874939,0.5268383026123047,793032,87,88,140423917673600,3.03 MB,NVIDIA H100 80GB HBM3
1x1kernel,dtachiif,1,0.2783123850822449,0.6183311343193054,0.5187809467315674,793032,85,84,134041012324800,3.03 MB,NVIDIA H100 80GB HBM3
1x1kernel,wql4sqk1,2,0.2834567129611969,0.6200180053710938,0.5206714868545532,793032,83,83,132445285987600,3.03 MB,NVIDIA H100 80GB HBM3
1x1kernel,hbjsgibm,3,0.2840166687965393,0.6240730285644531,0.5175848603248596,793032,69,55,87764948546000,3.03 MB,NVIDIA H100 80GB HBM3
1x1kernel,m019aj3j,4,0.28251445293426514,0.623077392578125,0.5222030878067017,793032,82,79,126062380638800,3.03 MB,NVIDIA H100 80GB HBM3
minus1conv_per_block,xrv6cthw,0,0.35192617774009705,0.675763726234436,0.5950280427932739,3109960,58,32,237602342540800,11.86 MB,NVIDIA H100 80GB HBM3
minus1conv_per_block,4k15ic0x,1,0.41068464517593384,0.7083724737167358,0.6557921767234802,3109960,86,78,579155709943200,11.86 MB,NVIDIA H100 80GB HBM3
minus1conv_per_block,v778lmt7,2,0.3874961733818054,0.6977607607841492,0.6246299743652344,3109960,137,148,1098910834251200,11.86 MB,NVIDIA H100 80GB HBM3
minus1conv_per_block,8clki0k4,3,0.40358930826187134,0.7103050351142883,0.6528872847557068,3109960,80,68,504904977899200,11.86 MB,NVIDIA H100 80GB HBM3
minus1conv_per_block,6vusllw9,4,0.4133414030075073,0.7149574160575867,0.6634222865104675,3109960,87,83,616281075965200,11.86 MB,NVIDIA H100 80GB HBM3
plus1conv_per_block,jzt0057e,0,0.35188978910446167,0.6481186151504517,0.6173161268234253,10939208,159,68,1426127877611200,41.73 MB,NVIDIA H100 80GB HBM3
plus1conv_per_block,tvuunefc,1,0.34639355540275574,0.6448737978935242,0.6148032546043396,10939208,163,69,1447100346399600,41.73 MB,NVIDIA H100 80GB HBM3
plus1conv_per_block,6n7pvrgd,2,0.34449392557144165,0.643292248249054,0.6008766889572144,10939208,173,76,1593907627918400,41.73 MB,NVIDIA H100 80GB HBM3
plus1conv_per_block,n33uhvr9,3,0.3488903343677521,0.6461082696914673,0.6034066081047058,10939208,150,59,1237375658515600,41.73 MB,NVIDIA H100 80GB HBM3
plus1conv_per_block,6sn9bus1,4,0.3540768027305603,0.6484100222587585,0.6100181341171265,10939208,141,54,1132513314573600,41.73 MB,NVIDIA H100 80GB HBM3
plus2conv_per_block,jx92rjq6,0,0.3491442799568176,0.6436492800712585,0.6057624816894531,14853832,179,61,1692516161404400,56.66 MB,NVIDIA H100 80GB HBM3
plus2conv_per_block,mtz5gqsz,1,0.3555401563644409,0.6502151489257812,0.6090921759605408,14853832,193,66,1831246994306400,56.66 MB,NVIDIA H100 80GB HBM3
plus2conv_per_block,ka7iw2om,2,0.31996020674705505,0.633502185344696,0.5873250365257263,14853832,199,66,1831246994306400,56.66 MB,NVIDIA H100 80GB HBM3
plus2conv_per_block,q7xzret8,3,0.34223607182502747,0.6330345273017883,0.5906181931495667,14853832,189,69,1914485494047600,56.66 MB,NVIDIA H100 80GB HBM3
plus2conv_per_block,fo6e3bu8,4,0.3546139597892761,0.6494522094726562,0.6143297553062439,14853832,192,65,1803500827726000,56.66 MB,NVIDIA H100 80GB HBM3
0_25xfilters,egad2h0g,0,0.3260296881198883,0.6322036981582642,0.5789791941642761,442872,59,53,48911186930800,1.69 MB,NVIDIA H100 80GB HBM3
0_25xfilters,soapo7ln,1,0.2887755036354065,0.619708240032196,0.5560444593429565,442872,58,51,47065481763600,1.69 MB,NVIDIA H100 80GB HBM3
0_25xfilters,c42yp3d3,2,0.29849350452423096,0.6343299746513367,0.5601823925971985,442872,60,57,52602597265200,1.69 MB,NVIDIA H100 80GB HBM3
0_25xfilters,1atwfbr6,3,0.3053325414657593,0.6211593747138977,0.5684714913368225,442872,56,47,43374071429200,1.69 MB,NVIDIA H100 80GB HBM3
0_25xfilters,xgx5s0sb,4,0.3068448007106781,0.6333267092704773,0.575797975063324,442872,64,68,62753975684800,1.69 MB,NVIDIA H100 80GB HBM3
0_5xfilters,8kbi19c2,0,0.36882269382476807,0.6687309145927429,0.6240745186805725,1761256,79,74,266149685439200,6.72 MB,NVIDIA H100 80GB HBM3
0_5xfilters,4iia9wki,1,0.377427875995636,0.6729766726493835,0.6394712924957275,1761256,87,87,312905711259600,6.72 MB,NVIDIA H100 80GB HBM3
0_5xfilters,x410bld0,2,0.3682163059711456,0.6711967587471008,0.6285497546195984,1761256,75,65,233780129102000,6.72 MB,NVIDIA H100 80GB HBM3
0_5xfilters,7a20mh3r,3,0.38422077894210815,0.6817725896835327,0.6444807648658752,1761256,77,72,258956450697600,6.72 MB,NVIDIA H100 80GB HBM3
0_5xfilters,c6hyucvm,4,0.36233818531036377,0.6681014895439148,0.6196272969245911,1761256,90,89,320098946001200,6.72 MB,NVIDIA H100 80GB HBM3
2xfilters,bs2edxcp,0,0.3868716359138489,0.6836746335029602,0.6474975347518921,28057480,231,52,2933921871524800,107.03 MB,NVIDIA H100 80GB HBM3
2xfilters,g1gr0r4k,1,0.3834158182144165,0.6829536557197571,0.642158031463623,28057480,229,49,2764657148167600,107.03 MB,NVIDIA H100 80GB HBM3
2xfilters,yy0vxxnx,2,0.3847067952156067,0.6784591674804688,0.6536068916320801,28057480,273,70,3949510211668000,107.03 MB,NVIDIA H100 80GB HBM3
2xfilters,nok70mf4,3,0.3798437416553498,0.6795402765274048,0.6453444361686707,28057480,229,53,2990343445977200,107.03 MB,NVIDIA H100 80GB HBM3
2xfilters,lujqyh3r,4,0.38383105397224426,0.6836021542549133,0.6585375666618347,28057480,274,60,3385294467144000,107.03 MB,NVIDIA H100 80GB HBM3
4xfilters,g85oh9aq,0,0.3973950147628784,0.6918319463729858,0.662975549697876,112148232,716,61,13721411137199600,427.81 MB,NVIDIA H100 80GB HBM3
4xfilters,efb3bshg,1,0.3979893922805786,0.6977424621582031,0.6737412214279175,112148232,712,57,12821646472465200,427.81 MB,NVIDIA H100 80GB HBM3
4xfilters,h9qbfq00,2,0.400712788105011,0.6919227838516235,0.6652033925056458,112148232,774,62,13946352303383200,427.81 MB,NVIDIA H100 80GB HBM3
4xfilters,rj1229es,3,0.3950785994529724,0.6965782046318054,0.6685206294059753,112148232,746,55,12371764140098000,427.81 MB,NVIDIA H100 80GB HBM3
4xfilters,snt5a3ap,4,0.3924315571784973,0.6930176019668579,0.6543948650360107,112148232,612,41,9222587813527600,427.81 MB,NVIDIA H100 80GB HBM3
8xfilters,z8fihjj3,0,0.420739233493805,0.717699408531189,0.6887655854225159,448429576,3313,75,67370721669210000,1.67 GB,NVIDIA H100 80GB HBM3
8xfilters,ofyga3ar,1,0.42643266916275024,0.7186752557754517,0.6873648762702942,448429576,3971,89,79946589714129200,1.67 GB,NVIDIA H100 80GB HBM3
8xfilters,0pfntwfe,2,0.3616023063659668,0.6941375732421875,0.6259567141532898,448429576,2175,36,32337946401220800,1.67 GB,NVIDIA H100 80GB HBM3
8xfilters,7eejzjab,3,0.4169684052467346,0.7158218622207642,0.6804582476615906,448429576,3723,90,80844866003052000,1.67 GB,NVIDIA H100 80GB HBM3
8xfilters,u6mq768e,4,0.423977255821228,0.7136184573173523,0.6771872639656067,448429576,3352,77,69167274247055600,1.67 GB,NVIDIA H100 80GB HBM3
