variant,mean_mIoU,std_mIoU,mean_Accuracy,std_Accuracy,mean_Dice,std_Dice,mean_#Param,std_#Param,mean_#Seconds,std_#Seconds,mean_#Epochs,std_#Epochs,mean_FLOPs,std_FLOPs,memory(MB)
2xinitial_filters,0.4806275606155396,0.014596537795169113,0.7577677845954895,0.010309640790858618,0.7071975350379944,0.021500769736339746,30131976.0,0.0,617.0,38.55385843206877,89.2,6.794115100585211,1.661600335682528e+16,1265594611188130.2,114.94
4xinitial_filters,0.4780827879905701,0.011340563108644782,0.7560630798339844,0.006861284640785976,0.6967978119850159,0.014180520728905526,120425992.0,0.0,2329.2,169.8462834447666,99.0,11.730302638892145,7.36204267561752e+16,8723130164185129.0,459.39
0_5xinitial_filters,0.4410220444202423,0.007866115237571965,0.7281492590904236,0.004921875517080337,0.6695510149002075,0.0069087052604077095,1892808.0,0.0,117.4,5.6780278266313555,75.2,7.573638491504594,885912617839360.0,89223163598108.75,7.22
0_25xinitial_filters,0.43201751708984376,0.00487022315582882,0.7228407263755798,0.005128723005253608,0.6564363241195679,0.007464122878777415,476392.0,0.0,91.0,4.69041575982343,87.2,6.910861017268398,260866482040960.0,20674449557899.277,1.82
plus2conv_per_block,0.4533063769340515,0.012825090070860858,0.7428695678710937,0.009652279748852518,0.675469434261322,0.016368257077330965,15226248.0,0.0,384.0,40.44749683231337,96.4,10.707007051459339,8236524387609920.0,914818720930043.8,58.08
plus1conv_per_block,0.46449318528175354,0.006460079858900742,0.7456866383552552,0.003927784421557502,0.6948460340499878,0.015972394971420938,11385992.0,0.0,308.0,27.320322106446696,93.4,9.09065454189081,6173498299405280.0,600868740415886.5,43.43
minus1conv_per_block,0.4181844651699066,0.0060967175880070066,0.7096133470535279,0.004179037449842772,0.6295810818672181,0.007242680039813298,3705480.0,0.0,167.8,15.065191668213185,92.2,14.483093592185337,2527200883642400.0,396981420000502.9,14.14
minus1max_depth,0.4278449833393097,0.005944892573961863,0.723362123966217,0.0059817045233686444,0.6370988965034485,0.00921094182664877,1639816.0,0.0,151.4,4.586937976471886,86.6,3.878143885933063,2207020180064080.0,98835355859658.2,6.26
minus2max_depth,0.2526117652654648,0.01163904476721771,0.5635368347167968,0.011890039591913674,0.4620774984359741,0.008684984645784205,161416.0,0.0,84.6,11.637869220780924,110.0,23.426480742954116,462919074816000.0,98586952652028.72,0.615751953125
plus2max_depth,0.4615756690502167,0.004860026141558997,0.7287034630775452,0.0018404366684954983,0.6831664562225341,0.004595617334120963,125556616.0,0.0,928.6,84.3174952189639,96.4,8.73155198117723,8606609235548800.0,779554522011144.9,478.96
basis,0.4609122574329376,0.008270568763205751,0.7429037451744079,0.005084154658441246,0.6998437643051147,0.0124562789799619,7545736.0,0.0,221.8,6.1773780845922,82.6,4.409081537009721,3861855623766560.0,206140875657945.5,28.78
1x1kernel,0.29053868651390075,0.00218640896835354,0.6227677822113037,0.0017758745000546218,0.521410071849823,0.0023456187874718645,849800.0,0.0,134.6,17.338973441354593,108.6,21.039011383617815,567623421260640.0,109965337214647.3,3.24
2x2kernel,0.36537526845932006,0.0075825587810647915,0.6647164821624756,0.004773032731780943,0.6034421682357788,0.009874360214445514,3360776.0,0.0,179.4,7.709734106958554,89.0,7.5099933422074345,1851141873530400.0,156202956693198.9,12.82
5x5kernel,0.42670938968658445,0.003907789728386626,0.7140873551368714,0.00493086274170924,0.6751322984695435,0.007350525173170162,20937608.0,0.0,378.0,25.67489045740994,68.0,8.270429251254134,8826918848976000.0,1073564821279670.2,79.87
7x7kernel,0.4123205006122589,0.01177310581971773,0.7047998189926148,0.009798392701887546,0.6530478477478028,0.019686575677394846,41025416.0,0.0,851.2,68.84591491148912,81.0,7.0710678118654755,2.06054705461896e+16,1798798512685227.0,156.5
9x9kernel,0.38620595932006835,0.005318312402225005,0.675966489315033,0.004882621238889775,0.6364494323730469,0.010644350000427707,67809160.0,0.0,1246.0,109.4769382107483,74.4,7.914543574963752,3.128493107631936e+16,3328036965635311.5,258.67
11x11kernel,0.35952683091163634,0.003967576007192547,0.64942946434021,0.004523263035887919,0.6132524967193603,0.004691613356653384,101288840.0,0.0,2022.6,276.1380814013163,88.8,14.386104406683554,5.577805150575552e+16,9036361177513196.0,386.39
plus1max_depth,0.47312033772468565,0.008613651238440769,0.7497810363769531,0.0035564316632484784,0.6984119892120362,0.009683097594990126,31154056.0,0.0,449.0,44.73477394600312,108.0,12.884098726725126,7345942504372800.0,876350448770236.8,118.84
plus3max_depth,0.47051931023597715,0.005846341823860883,0.7442880272865295,0.002684712938504133,0.7062184572219848,0.004038996800663607,503105416.0,0.0,2568.2,193.21117980075584,90.6,9.068627239003707,1.001504451876552e+16,1002458118352227.0,1914.88
