variant,run_id,run_number,mIoU,Accuracy,Dice,#Param,#Seconds,#Epochs,FLOPs,memory_usage,GPU
2xinitial_filters,02uxpcam,0,0.4921835660934448,0.7668517827987671,0.7296879887580872,30131976,575,86,16019913550302400,114.94 MB,NVIDIA H100 80GB HBM3
2xinitial_filters,9iosb9kr,1,0.46920710802078247,0.7464286684989929,0.6867284774780273,30131976,586,83,15461079356687200,114.94 MB,NVIDIA H100 80GB HBM3
2xinitial_filters,va1lr9co,2,0.45746931433677673,0.7439926266670227,0.6773968935012817,30131976,636,90,16765025808456000,114.94 MB,NVIDIA H100 80GB HBM3
2xinitial_filters,t34yu6p1,3,0.4921398162841797,0.7647560238838196,0.7285935282707214,30131976,682,102,19000362582916800,114.94 MB,NVIDIA H100 80GB HBM3
2xinitial_filters,vo7oxl59,4,0.4921379983425141,0.7668098211288452,0.7135807871818542,30131976,606,85,15833635485764000,114.94 MB,NVIDIA H100 80GB HBM3
4xinitial_filters,i7rcoafu,0,0.4735852777957916,0.7542030215263367,0.6890295147895813,120425992,2364,100,74364067430480000,459.39 MB,NVIDIA H100 80GB HBM3
4xinitial_filters,2yqxsulj,1,0.4900032877922058,0.7629440426826477,0.7026036977767944,120425992,2086,80,59491253944384000,459.39 MB,NVIDIA H100 80GB HBM3
4xinitial_filters,9p5js08t,2,0.4789179563522339,0.7571449279785156,0.7024419903755188,120425992,2185,93,69158582710346400,459.39 MB,NVIDIA H100 80GB HBM3
4xinitial_filters,4l0hvi8d,3,0.4888855516910553,0.7620887756347656,0.7158464789390564,120425992,2484,110,81800474173528000,459.39 MB,NVIDIA H100 80GB HBM3
4xinitial_filters,7a1w0ihk,4,0.4590218663215637,0.7439346313476562,0.6740673780441284,120425992,2527,112,83287755522137600,459.39 MB,NVIDIA H100 80GB HBM3
0_5xinitial_filters,s3975zjy,0,0.4437474310398102,0.7301391363143921,0.6706283092498779,1892808,113,69,812871949879200,7.22 MB,NVIDIA H100 80GB HBM3
0_5xinitial_filters,kknvp9wm,1,0.4477056562900543,0.7323623895645142,0.679189145565033,1892808,117,74,871775714363200,7.22 MB,NVIDIA H100 80GB HBM3
0_5xinitial_filters,rav9rgv3,2,0.44120144844055176,0.729967474937439,0.6730083227157593,1892808,126,87,1024925502021600,7.22 MB,NVIDIA H100 80GB HBM3
0_5xinitial_filters,3g1kur7x,3,0.4465059638023377,0.7297927737236023,0.6664777994155884,1892808,110,66,777529691188800,7.22 MB,NVIDIA H100 80GB HBM3
0_5xinitial_filters,46bdhptj,4,0.4259497225284576,0.7184845209121704,0.658451497554779,1892808,121,80,942460231744000,7.22 MB,NVIDIA H100 80GB HBM3
0_25xinitial_filters,abpsi31i,0,0.44035688042640686,0.7287963628768921,0.6658222675323486,476392,89,83,248301812034400,1.82 MB,NVIDIA H100 80GB HBM3
0_25xinitial_filters,k1m6uxmh,1,0.4251023530960083,0.7156974673271179,0.6536825895309448,476392,96,94,281209281099200,1.82 MB,NVIDIA H100 80GB HBM3
0_25xinitial_filters,mcb17mnz,2,0.4319579601287842,0.7285248041152954,0.6644923686981201,476392,97,97,290184045389600,1.82 MB,NVIDIA H100 80GB HBM3
0_25xinitial_filters,stkvq97x,3,0.4309503436088562,0.7217338681221008,0.6513410210609436,476392,85,80,239327047744000,1.82 MB,NVIDIA H100 80GB HBM3
0_25xinitial_filters,nw9hkg23,4,0.4317200481891632,0.7194511294364929,0.6468433737754822,476392,88,82,245310223937600,1.82 MB,NVIDIA H100 80GB HBM3
plus2conv_per_block,3h8y17a3,0,0.45477160811424255,0.7419166564941406,0.6656059622764587,15226248,416,103,8800435808338400,58.08 MB,NVIDIA H100 80GB HBM3
plus2conv_per_block,vj46q2ci,1,0.4650722146034241,0.7521209716796875,0.6986922025680542,15226248,349,88,7518818943046400,58.08 MB,NVIDIA H100 80GB HBM3
plus2conv_per_block,h80kvbwg,2,0.4321237802505493,0.7262641787528992,0.6534180045127869,15226248,323,80,6835289948224000,58.08 MB,NVIDIA H100 80GB HBM3
plus2conv_per_block,zfstxay6,3,0.4673199951648712,0.7529007196426392,0.6892752051353455,15226248,425,109,9313082554455200,58.08 MB,NVIDIA H100 80GB HBM3
plus2conv_per_block,9s2t7507,4,0.4472442865371704,0.7411453127861023,0.6703557968139648,15226248,407,102,8714994683985600,58.08 MB,NVIDIA H100 80GB HBM3
plus1conv_per_block,rq0vj8ee,0,0.4643678367137909,0.7436721920967102,0.6976519227027893,11385992,285,85,5618280036932000,43.43 MB,NVIDIA H100 80GB HBM3
plus1conv_per_block,v88p5icr,1,0.4645373225212097,0.7468093633651733,0.6935686469078064,11385992,351,107,7072423105314400,43.43 MB,NVIDIA H100 80GB HBM3
